x,y,R,G,B
0,0,24,24,24
1,0,25,24,25
2,0,25,24,23
3,0,23,23,23
4,0,24,24,24
5,0,24,23,23
6,0,23,24,25
7,0,23,24,25
8,0,25,25,24
9,0,24,25,26
10,0,23,23,24
11,0,25,26,24
12,0,23,23,25
13,0,24,25,23
14,0,27,26,26
15,0,26,25,25
16,0,27,25,25
17,0,27,27,26
18,0,25,25,25
19,0,26,25,25
20,0,25,27,26
21,0,26,26,25
22,0,25,26,24
23,0,23,25,25
24,0,25,27,25
25,0,25,25,26
26,0,25,26,24
27,0,23,23,24
28,0,25,26,25
29,0,24,24,23
30,0,23,22,22
31,0,25,25,24
32,0,26,26,25
33,0,23,25,23
34,0,23,25,23
35,0,25,24,23
36,0,25,25,25
37,0,25,24,25
38,0,26,26,25
39,0,25,25,24
40,0,25,25,25
41,0,25,26,26
42,0,23,25,23
43,0,24,24,23
44,0,24,25,23
45,0,22,23,21
46,0,23,24,24
47,0,25,25,24
48,0,25,25,25
49,0,24,25,25
50,0,25,25,23
51,0,23,24,26
52,0,25,25,25
53,0,26,26,25
54,0,24,26,26
55,0,24,25,25
56,0,25,25,24
57,0,25,24,23
58,0,22,23,23
59,0,25,24,23
60,0,23,24,24
61,0,23,22,24
62,0,23,23,22
63,0,26,26,25
0,1,25,23,24
1,1,23,23,22
2,1,23,24,24
3,1,25,23,25
4,1,23,24,23
5,1,23,24,22
6,1,23,23,22
7,1,23,25,23
8,1,26,25,25
9,1,23,22,24
10,1,23,22,23
11,1,26,26,26
12,1,25,25,24
13,1,23,23,23
14,1,25,24,24
15,1,24,25,26
16,1,23,23,23
17,1,26,24,24
18,1,26,24,25
19,1,26,27,26
20,1,25,25,22
21,1,26,26,25
22,1,27,26,27
23,1,25,25,26
24,1,25,24,24
25,1,25,25,26
26,1,24,25,24
27,1,23,26,24
28,1,25,26,25
29,1,26,25,25
30,1,27,26,26
31,1,22,24,23
32,1,24,24,24
33,1,25,23,25
34,1,25,24,24
35,1,23,24,23
36,1,23,23,23
37,1,23,22,24
38,1,24,23,23
39,1,23,23,23
40,1,23,21,21
41,1,25,24,24
42,1,22,23,21
43,1,22,23,23
44,1,24,24,23
45,1,26,26,25
46,1,24,24,25
47,1,23,23,22
48,1,25,23,24
49,1,23,22,22
50,1,24,23,23
51,1,24,24,24
